Date,Price,Open,High,Low,Vol.,Change %
26-Feb-21,"28,980.21","29,412.13","29,579.67","28,980.21",4.13B,-3.64%
25-Feb-21,"30,074.17","30,174.22","30,453.12","29,833.05",3.66B,1.20%
24-Feb-21,"29,718.24","30,702.65","30,792.88","29,532.68",4.85B,-2.99%
23-Feb-21,"30,632.64","30,189.97","30,948.47","30,126.40",4.61B,1.03%
22-Feb-21,"30,319.83","31,071.61","31,071.61","30,298.58",4.45B,-1.06%
19-Feb-21,"30,644.73","30,483.46","30,720.15","30,099.71",3.32B,0.16%
18-Feb-21,"30,595.27","31,183.36","31,183.36","30,570.55",3.69B,-1.58%
17-Feb-21,"31,084.94","30,636.37","31,168.30","30,503.46",3.14B,1.10%
16-Feb-21,"30,746.66","30,675.82","30,793.48","30,497.40",3.27B,1.90%
11-Feb-21,"30,173.57","29,995.28","30,184.17","29,828.62",1.19B,0.45%
10-Feb-21,"30,038.72","29,796.19","30,075.50","29,732.23",2.00B,1.91%
09-Feb-21,"29,476.19","29,442.50","29,527.67","29,263.98",1.85B,0.53%
08-Feb-21,"29,319.47","29,629.08","29,706.08","29,293.64",2.20B,0.11%
05-Feb-21,"29,288.68","29,305.09","29,495.64","29,184.09",2.68B,0.60%
04-Feb-21,"29,113.50","29,093.54","29,409.00","28,775.38",3.03B,-0.66%
03-Feb-21,"29,307.46","29,305.41","29,312.00","28,967.01",2.68B,0.20%
02-Feb-21,"29,248.70","29,378.12","29,511.00","29,198.86",2.74B,1.23%
01-Feb-21,"28,892.86","28,457.85","28,982.77","28,382.26",2.46B,2.15%
29-Jan-21,"28,283.71","28,826.18","28,972.06","28,259.73",3.20B,-0.94%
28-Jan-21,"28,550.77","28,914.85","29,191.68","28,467.01",2.99B,-2.55%
27-Jan-21,"29,297.53","29,556.58","29,636.63","29,194.37",3.81B,-0.32%
26-Jan-21,"29,391.26","29,892.85","29,965.11","29,345.74",4.81B,-2.55%
25-Jan-21,"30,159.01","29,677.30","30,191.16","29,673.26",3.07B,2.41%
22-Jan-21,"29,447.85","29,809.23","29,862.89","29,413.52",3.38B,-1.60%
21-Jan-21,"29,927.76","29,951.78","30,135.50","29,745.87",3.00B,-0.12%
20-Jan-21,"29,962.47","29,794.41","29,993.47","29,676.54",3.94B,1.08%
19-Jan-21,"29,642.28","29,100.17","29,848.43","29,100.17",4.57B,2.70%
18-Jan-21,"28,862.77","28,454.59","28,864.25","28,390.29",2.96B,1.01%
15-Jan-21,"28,573.86","28,394.37","28,667.59","28,294.66",4.49B,0.27%
14-Jan-21,"28,496.86","28,408.12","28,510.92","28,280.09",3.21B,0.93%
13-Jan-21,"28,235.60","28,309.32","28,414.54","28,136.64",3.56B,-0.15%
12-Jan-21,"28,276.75","27,894.29","28,276.75","27,781.42",3.40B,1.32%
11-Jan-21,"27,908.22","28,003.98","28,176.65","27,794.81",4.37B,0.11%
08-Jan-21,"27,878.22","27,630.03","27,920.77","27,538.20",5.67B,1.20%
07-Jan-21,"27,548.52","27,715.94","27,752.36","27,457.47",3.78B,-0.52%
06-Jan-21,"27,692.30","27,613.34","27,756.43","27,389.78",3.08B,0.15%
05-Jan-21,"27,649.86","27,281.34","27,690.21","27,150.38",3.28B,0.64%
04-Jan-21,"27,472.81","27,087.13","27,502.83","27,079.24",2.87B,0.89%
31-Dec-20,"27,231.13","27,194.79","27,340.99","27,163.51",2.05B,0.31%
30-Dec-20,"27,147.11","26,695.11","27,159.47","26,670.97",2.55B,2.18%
29-Dec-20,"26,568.49","26,490.45","26,618.78","26,432.91",2.30B,0.96%
28-Dec-20,"26,314.63","26,288.37","26,514.08","26,264.32",2.67B,-0.27%
24-Dec-20,"26,386.56","26,342.87","26,470.40","26,221.30",1.30B,0.16%
23-Dec-20,"26,343.10","26,083.11","26,343.10","26,071.76",2.01B,0.86%
22-Dec-20,"26,119.25","26,260.78","26,365.20","25,998.87",1.75B,-0.71%
21-Dec-20,"26,306.68","26,422.62","26,498.65","26,274.65",2.04B,-0.72%
18-Dec-20,"26,498.60","26,650.49","26,668.10","26,363.05",3.08B,-0.67%
17-Dec-20,"26,678.38","26,608.44","26,678.38","26,390.59",2.26B,0.82%
16-Dec-20,"26,460.29","26,421.21","26,510.19","26,318.74",2.04B,0.97%
15-Dec-20,"26,207.29","26,418.93","26,436.04","26,127.68",2.59B,-0.69%
14-Dec-20,"26,389.52","26,522.10","26,544.12","26,318.11",2.21B,-0.44%
